Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Ethnicity,Occupation,Social Classification,Manner of Death,Place of Death,Place of Detainment,Wikipedia Page
http://www.wikidata.org/entity/Q43390211,Jonnet McKennan,Balmurrie,-4.805504,54.959995,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43390291,Jonet Braidheid,Balmakeith,-3.852752,57.580476,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43390319,Wife of Soirle McAllexander,Isle of Bute,-5.05636,55.83569,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43390500,Christian Watson,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43390507,Janet Conochie,Bo'ness,-3.608911111,56.01681111,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392176,Janet Baker,Edinburgh,-3.198888888,55.95,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392260,Elizabeth Crafford,Sammuelston,-2.825545,55.92742,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392831,Margaret Heriot,"Carrington, Midlothian",-3.0903,55.8328,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392833,Alison Neving,Dysart,-3.12538,56.12557,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392847,Agnes Weir,Dumfries,-3.616666666,55.06666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392854,Marion Ritchie,Newton-on-Ayr,-4.625473,55.473285,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392958,Jonet Lockie,Carnwath,-3.625,55.7006,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392961,Margaret Watsoun,Carnwath,-3.625,55.7006,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392965,Elizabeth Sinclair,Sammuelston,-2.825545,55.92742,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392973,Marjorie Adamsone,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392993,Helen Tailzear,Eyemouth,-2.090555555,55.86944444,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392995,Margaret Dobson,Berwickshire,-2.5,55.75,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393004,Cristiane Tod,Longniddry,-2.88333,55.9667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393012,Agnes Murray,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393028,Isobel Wilson,Carriden,-3.566848,56.009756,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393055,Jonet Baigbie,Bolton,-2.79042,55.9205,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393060,Margaret Ker,Bolton,-2.79042,55.9205,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393067,Jean Getgood,Ormiston,-2.94306,55.9122,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393091,Elspeth Halliburtonn,Newton-on-Ayr,-4.625473,55.473285,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393105,Margret Hawie,Ormiston,-2.94306,55.9122,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393119,Barbara Hood,Chirnside,-2.209,55.8021,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393137,Helen Guthery,Forfar,-2.89,56.64305556,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393192,Elspeth Seatoun,Lindores,-3.19051,56.3387,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393204,Helen Wentoun,Newburgh,-3.2383,56.3517,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393207,Issobell Page,Newburgh,-3.2383,56.3517,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393225,Christian Cuthbertson,North Queensferry,-3.39444,56.0111,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393260,Bessie Proffit,Coldingham,-2.156753,55.886672,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393348,Elizabeth Clow,Forgan,-2.9321,56.4236,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393381,Anna Law,Dunning,-3.58896,56.3118,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393391,Jonet Bining,Clathymore,-3.603294,56.374352,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393396,Jonet Allan,Innergask,-3.614749,56.37595,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393414,Margret Rankin,Inverkip,-4.8735,55.912,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393422,Margret McIllvein,Isle of Bute,-5.05636,55.83569,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393425,Issobell McCan,Isle of Bute,-5.05636,55.83569,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393443,Daughter of Alexander McIllmartin,Kelspoke Castle,-5.0183,55.7432,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393505,Jonet Nein Ean Cheill,Buntoit,-4.664676,57.340454,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393551,Jonnet Cleghorne,Niddry,-3.458308,55.949861,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393556,Jonnet Young,Niddry,-3.458308,55.949861,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393625,Rachael Forrester,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43393645,Katherine Hendersoun,Chirnside,-2.209,55.8021,Female,NA,NA,NA,NA,NA,NA,NA
